代码	名称	流通股(亿)
603288	海天味业	32.4
600588	用友网络	32.36
601958	金钼股份	32.27
601816	京沪高铁	32.12
600782	新钢股份	31.89
002010	传化智联	31.83
600233	圆通速递	31.58
600741	华域汽车	31.53
600820	隧道股份	31.44
002050	三花智控	31.41
002239	奥特佳	31.31
601929	吉视传媒	31.11
600873	梅花生物	30.87
600017	日照港	30.76
601997	贵阳银行	30.7
600522	中天科技	30.66
000939	*ST凯迪	30.42
600466	蓝光发展	30.35
600109	国金证券	30.24
601699	潞安环能	29.91
000402	金 融 街	29.88
000598	兴蓉环境	29.86
600100	同方股份	29.64
601808	中海油服	29.6
600188	兖州煤业	29.6
000728	国元证券	29.46
600406	国电南瑞	29.35
600663	陆家嘴	29.33
000727	*ST东科	29.31
300185	通裕重工	29.18
000767	漳泽电力	29.12
000937	冀中能源	29.07
002426	*ST胜利	28.98
601139	深圳燃气	28.66
002470	*ST金正	28.37
600153	建发股份	28.35
002065	东华软件	28.08
002120	韵达股份	27.96
300251	光线传媒	27.84
002385	大北农	27.84
600231	凌钢股份	27.71
000768	中航飞机	27.69
000536	*ST华映	27.63
002217	合力泰	27.62
601198	东兴证券	27.58
000559	万向钱潮	27.53
600033	福建高速	27.44
002185	华天科技	27.39
600277	亿利洁能	27.39
000882	华联股份	27.37
600026	中远海能	27.36
600098	广州发展	27.26
002241	歌尔股份	27.21
600879	航天电子	27.19
600500	中化国际	27.08
600160	巨化股份	27
002244	滨江集团	26.92
002958	青农商行	26.92
002129	中环股份	26.83
601636	旗滨集团	26.83
600299	安迪苏	26.82
601375	中原证券	26.74
300026	红日药业	26.71
002456	欧菲光	26.68
000987	越秀金控	26.67
000008	神州高铁	26.65
600572	康恩贝	26.61
601588	北辰实业	26.6
601611	中国核建	26.25
000078	海王生物	26.21
000807	云铝股份	26.07
002081	金 螳 螂	26.05
300315	掌趣科技	26
601918	新集能源	25.91
600376	首开股份	25.8
601128	常熟银行	25.75
000981	*ST银亿	25.74
600143	金发科技	25.74
600751	海航科技	25.73
600169	太原重工	25.64
601003	柳钢股份	25.63
000539	粤电力Ａ	25.54
002002	鸿达兴业	25.52
002078	太阳纸业	25.51
601916	浙商银行	25.5
601928	凤凰传媒	25.45
000009	中国宝安	25.44
600400	红豆股份	25.33
600649	城投控股	25.3
003816	中国广核	25.25
002269	美邦服饰	25.13
000729	燕京啤酒	25.09
600664	哈药股份	25.07
000066	中国长城	24.91
000732	泰禾集团	24.86
000517	荣安地产	24.73
600673	东阳光	24.59
000667	美好置业	24.47
000631	顺发恒业	24.33
300070	碧水源	24.32
000717	韶钢松山	24.2
600635	大众公用	24.19
600717	天津港	24.12
300088	长信科技	24.09
601108	财通证券	24.07
600348	阳泉煤业	24.05
600565	迪马股份	24.02
600569	安阳钢铁	23.94
002152	广电运通	23.93
600403	大有能源	23.91
601168	西部矿业	23.83
000035	中国天楹	23.68
002714	牧原股份	23.65
600547	山东黄金	23.5
600021	上海电力	23.47
600743	华远地产	23.46
000686	东北证券	23.4
600269	赣粤高速	23.35
002701	奥瑞金	23.32
601666	平煤股份	23.28
300058	蓝色光标	23.21
300376	易事特	23.08
000718	苏宁环球	22.89
600167	联美控股	22.88
600183	生益科技	22.85
000552	靖远煤电	22.84
600094	大名城	22.77
300459	金科文化	22.7
600759	洲际油气	22.58
600266	城建发展	22.57
002665	首航高科	22.56
002465	海格通信	22.53
600020	中原高速	22.47
601155	新城控股	22.45
000813	德展健康	22.41
600675	中华企业	22.4
002157	正邦科技	22.29
600120	浙江东方	22.28
600708	光明地产	22.25
600528	中铁工业	22.22
600869	智慧能源	22.19
600066	宇通客车	22.14
002461	珠江啤酒	22.13
300027	华谊兄弟	22.11
300144	宋城演艺	22.09
002075	沙钢股份	22.07
002110	三钢闽光	22.04
300017	网宿科技	22.02
600787	中储股份	22
600601	方正科技	21.95
002503	搜于特	21.9
601231	环旭电子	21.81
000553	安道麦A	21.77
002437	誉衡药业	21.75
601107	四川成渝	21.63
600057	厦门象屿	21.57
600507	方大特钢	21.56
002807	江阴银行	21.54
600477	杭萧钢构	21.54
601877	正泰电器	21.5
600428	中远海特	21.47
002092	中泰化学	21.46
000875	吉电股份	21.46
300072	三聚环保	21.31
002001	新 和 成	21.21
002183	怡 亚 通	21.2
002085	万丰奥威	21.14
600737	中粮糖业	21.11
600325	华发股份	21.11
600667	太极实业	21.06
000861	海印股份	20.86
601336	新华保险	20.85
000690	宝新能源	20.84
600864	哈投股份	20.81
601058	赛轮轮胎	20.78
600362	江西铜业	20.75
600004	白云机场	20.69
600409	三友化工	20.64
600185	格力地产	20.61
601990	南京证券	20.61
600246	万通地产	20.54
603766	隆鑫通用	20.54
000089	深圳机场	20.51
000938	紫光股份	20.43
000591	太阳能	20.37
600867	通化东宝	20.34
600331	宏达股份	20.32
601388	怡球资源	20.25
002558	巨人网络	20.24
002230	科大讯飞	20.22
600196	复星医药	20.11
002285	世联行	20.1
000564	供销大集	20.06
000967	盈峰环境	20.04
600660	福耀玻璃	20.03
600006	东风汽车	20
600875	东方电气	19.97
601908	京运通	19.93
600226	*ST瀚叶	19.93
601801	皖新传媒	19.89
601519	大智慧	19.88
600546	山煤国际	19.82
688009	中国通号	19.81
600399	ST抚钢	19.72
000758	中色股份	19.69
002102	ST冠福	19.64
000012	南 玻Ａ	19.57
601969	海南矿业	19.55
002127	南极电商	19.54
601888	中国中免	19.52
002739	万达电影	19.52
600893	航发动力	19.48
600380	健康元	19.48
600108	亚盛集团	19.47
600653	申华控股	19.46
000793	华闻集团	19.43
000088	盐 田 港	19.42
300296	利亚德	19.4
601619	嘉泽新能	19.33
002204	大连重工	19.31
000516	国际医学	19.29
600063	皖维高新	19.26
601607	上海医药	19.23
600577	精达股份	19.21
002405	四维图新	19.19
000560	我爱我家	19.17
000592	平潭发展	19.14
600487	亨通光电	19.05
000933	神火股份	19
600868	梅雁吉祥	18.98
000620	新华联	18.97
600485	*ST信威	18.95
601838	成都银行	18.94
600418	江淮汽车	18.93
002031	巨轮智能	18.89
600711	盛屯矿业	18.84
002489	浙江永强	18.81
002263	大东南	18.78
002600	领益智造	18.72
601298	青岛港	18.7
000090	天健集团	18.68
601138	工业富联	18.68
600977	中国电影	18.67
600968	海油发展	18.65
600623	华谊集团	18.62
002236	大华股份	18.57
600271	航天信息	18.53
000420	吉林化纤	18.5
600755	厦门国贸	18.5
601010	文峰股份	18.48
601233	桐昆股份	18.48
600748	上实发展	18.45
002219	*ST恒康	18.44
002563	森马服饰	18.42
002203	海亮股份	18.39
000050	深天马Ａ	18.29
600733	北汽蓝谷	18.25
300182	捷成股份	18.22
600939	重庆建工	18.15
000031	大悦城	18.14
002004	华邦健康	18.09
600963	岳阳林纸	18.05
000918	嘉凯城	18.04
603885	吉祥航空	17.97
601098	中南传媒	17.96
600901	江苏租赁	17.91
000543	皖能电力	17.9
002624	完美世界	17.9
601360	三六零	17.89
600220	江苏阳光	17.83
600190	锦州港	17.79
002926	华西证券	17.78
600598	北大荒	17.78
300014	亿纬锂能	17.77
600815	*ST厦工	17.74
300197	铁汉生态	17.73
002421	达实智能	17.7
600255	*ST梦舟	17.7
000903	云内动力	17.67
000030	富奥股份	17.6
600372	中航电子	17.6
002531	天顺风能	17.58
600691	阳煤化工	17.56
600392	盛和资源	17.55
300145	中金环境	17.52
002280	*ST联络	17.51
000963	华东医药	17.5
601222	林洋能源	17.49
600595	ST中孚	17.42
600970	中材国际	17.37
601860	紫金银行	17.36
002408	齐翔腾达	17.34
002305	南国置业	17.33
600337	美克家居	17.28
300253	卫宁健康	17.27
600502	安徽建工	17.21
600728	佳都科技	17.19
002463	沪电股份	17.06
002176	*ST江特	17.05
600908	无锡银行	16.97
000061	农 产 品	16.95
002005	*ST德豪	16.92
600998	九州通	16.91
600155	华创阳安	16.9
002526	山东矿机	16.9
600967	内蒙一机	16.9
000786	北新建材	16.9
000410	*ST沈机	16.81
600490	鹏欣资源	16.79
002080	中材科技	16.78
002400	省广集团	16.75
601001	大同煤业	16.74
600300	维维股份	16.72
600936	广西广电	16.71
000960	锡业股份	16.69
002939	长城证券	16.64
000488	晨鸣纸业	16.59
600515	海航基础	16.58
002936	郑州银行	16.56
300408	三环集团	16.56
600395	盘江股份	16.55
600187	国中水务	16.54
601326	秦港股份	16.53
002210	*ST飞马	16.51
002310	东方园林	16.47
000572	ST海马	16.42
000878	云南铜业	16.42
601369	陕鼓动力	16.39
002266	浙富控股	16.38
002249	大洋电机	16.37
002128	露天煤业	16.34
600812	华北制药	16.31
300002	神州泰岳	16.3
600884	杉杉股份	16.28
600481	双良节能	16.27
002966	苏州银行	16.25
002056	横店东磁	16.24
002670	国盛金控	16.23
600426	华鲁恒升	16.2
000897	津滨发展	16.17
600035	楚天高速	16.17
002517	恺英网络	16.14
600239	云南城投	16.06
601011	宝泰隆	16.05
600827	百联股份	16.04
002099	海翔药业	16.04
600478	科力远	16.04
600655	豫园股份	16.03
600503	华丽家族	16.02
000059	华锦股份	15.99
600512	腾达建设	15.99
000016	深康佳Ａ	15.97
000927	*ST夏利	15.95
000976	华铁股份	15.95
002145	中核钛白	15.91
600997	开滦股份	15.88
000158	常山北明	15.7
000912	泸天化	15.68
002007	华兰生物	15.67
002311	海大集团	15.65
600568	*ST中珠	15.65
600611	大众交通	15.63
000797	中国武夷	15.63
002390	信邦制药	15.58
600917	重庆燃气	15.56
600483	福能股份	15.52
300266	兴源环境	15.49
600895	张江高科	15.49
601678	滨化股份	15.44
600726	华电能源	15.35
600550	保变电气	15.35
600581	八一钢铁	15.33
002221	东华能源	15.32
600491	龙元建设	15.3
600739	辽宁成大	15.3
002482	广田集团	15.29
000039	中集集团	15.26
600657	信达地产	15.24
002064	华峰氨纶	15.19
002042	华孚时尚	15.18
000900	现代投资	15.17
600210	紫江企业	15.17
300003	乐普医疗	15.15
300024	机器人	15.14
600535	天士力	15.13
600614	*ST鹏起	15.11
600321	正源股份	15.11
600496	精工钢构	15.1
300012	华测检测	15.1
002091	江苏国泰	15.1
300383	光环新网	15.02
601339	百隆东方	15
600622	光大嘉宝	15
600429	三元股份	14.98
600067	冠城大通	14.92
600145	*ST新亿	14.91
600715	文投控股	14.9
600435	北方导航	14.89
601717	郑煤机	14.89
600687	*ST刚泰	14.89
002320	海峡股份	14.86
600978	*ST宜生	14.83
002555	三七互娱	14.8
000036	华联控股	14.79
002466	天齐锂业	14.77
000426	兴业矿业	14.75
601236	红塔证券	14.75
000652	泰达股份	14.74
600396	金山股份	14.73
000021	深科技	14.69
600790	轻纺城	14.66
000830	鲁西化工	14.64
000528	柳 工	14.63
002468	申通快递	14.62
600467	好当家	14.61
000568	泸州老窖	14.6
002662	京威股份	14.59
601015	陕西黑猫	14.59
000557	西部创业	14.58
300142	沃森生物	14.54
600261	阳光照明	14.52
600724	宁波富达	14.45
600527	江南高纤	14.44
000977	浪潮信息	14.41
600090	*ST济堂	14.4
300237	美晨生态	14.39
600151	航天机电	14.34
600643	爱建集团	14.34
600548	深高速	14.33
600273	嘉化能源	14.33
600804	鹏博士	14.32
000616	海航投资	14.3
600586	金晶科技	14.29
002411	延安必康	14.26
600988	赤峰黄金	14.26
600309	万华化学	14.24
002619	艾格拉斯	14.21
300267	尔康制药	14.2
002108	沧州明珠	14.18
002601	龙蟒佰利	14.18
002372	伟星新材	14.15
603259	药明康德	14.13
600499	科达制造	14.11
000751	锌业股份	14.1
600604	市北高新	14.07
600549	厦门钨业	14.06
600332	白云山	14.06
600681	百川能源	14.02
300159	新研股份	13.97
002256	*ST兆新	13.95
002277	友阿股份	13.94
600862	中航高科	13.93
600037	歌华有线	13.92
000519	中兵红箭	13.91
600217	中再资环	13.89
601567	三星医疗	13.87
300207	欣旺达	13.86
300133	华策影视	13.85
300124	汇川技术	13.81
600103	青山纸业	13.8
600186	莲花健康	13.8
600425	青松建化	13.79
600150	中国船舶	13.78
601952	苏垦农发	13.78
600521	华海药业	13.76
600085	同仁堂	13.71
002445	*ST中南	13.66
603323	苏农银行	13.62
600801	华新水泥	13.62
000791	甘肃电投	13.6
002678	珠江钢琴	13.57
601077	渝农商行	13.57
600312	平高电气	13.57
600517	国网英大	13.56
002431	棕榈股份	13.56
600373	中文传媒	13.55
601598	中国外运	13.52
002447	*ST晨鑫	13.5
000006	深振业Ａ	13.48
000401	冀东水泥	13.47
600856	*ST中天	13.43
002542	中化岩土	13.43
300180	华峰超纤	13.41
600077	宋都股份	13.4
600966	博汇纸业	13.37
000816	ST慧业	13.36
601515	东风股份	13.34
002523	天桥起重	13.32
002375	亚厦股份	13.31
600106	重庆路桥	13.29
002839	张家港行	13.28
002312	三泰控股	13.24
600096	云天化	13.21
600758	辽宁能源	13.21
300098	高新兴	13.19
601188	龙江交通	13.16
600460	士兰微	13.12
600986	科达股份	13.11
600060	海信视像	13.08
300083	创世纪	13.07
600710	苏美达	13.07
600580	卧龙电驱	13.07
600525	长园集团	13.06
600125	铁龙物流	13.06
601100	恒立液压	13.05
000429	粤高速Ａ	13.03
002611	东方精工	13.03
603019	中科曙光	13.02
600633	浙数文化	13.02
600770	综艺股份	13
000917	电广传媒	12.95
000558	莱茵体育	12.88
600707	彩虹股份	12.88
600079	人福医药	12.86
601777	力帆股份	12.86
000659	珠海中富	12.86
002663	普邦股份	12.83
002118	紫鑫药业	12.81
000156	华数传媒	12.8
600227	圣济堂	12.78
002344	海宁皮城	12.75
002191	劲嘉股份	12.73
002511	中顺洁柔	12.72
000155	川能动力	12.7
000582	北部湾港	12.67
300079	数码科技	12.67
002471	中超控股	12.65
002047	宝鹰股份	12.63
002436	兴森科技	12.63
000949	新乡化纤	12.57
000928	中钢国际	12.57
603568	伟明环保	12.56
600519	贵州茅台	12.56
603369	今世缘	12.55
600161	天坛生物	12.54
000685	中山公用	12.53
002132	恒星科技	12.52
000597	东北制药	12.5
002304	洋河股份	12.49
002414	高德红外	12.48
002399	海普瑞	12.47
002130	沃尔核材	12.47
000980	*ST众泰	12.46
600718	东软集团	12.42
300355	蒙草生态	12.4
002302	西部建设	12.39
600105	永鼎股份	12.38
002537	海联金汇	12.38
000975	银泰黄金	12.37
600699	均胜电子	12.37
600064	南京高科	12.36
002640	跨境通	12.34
600725	ST云维	12.32
600979	广安爱众	12.32
600803	新奥股份	12.29
300750	宁德时代	12.26
000863	三湘印象	12.25
600597	光明乳业	12.24
600172	黄河旋风	12.24
300324	旋极信息	12.23
002416	爱施德	12.23
002384	东山精密	12.23
600973	宝胜股份	12.22
600121	郑州煤电	12.18
000301	东方盛虹	12.18
000887	中鼎股份	12.18
002218	拓日新能	12.16
600757	长江传媒	12.13
601518	吉林高速	12.13
000587	*ST金洲	12.13
600794	保税科技	12.12
600584	长电科技	12.09
000836	富通鑫茂	12.08
600495	晋西车轴	12.08
300316	晶盛机电	12.07
002171	楚江新材	12.06
000547	航天发展	12.05
000566	海南海药	12.03
002155	湖南黄金	12.02
002060	粤 水 电	12.02
600971	恒源煤电	12
601101	昊华能源	12
002419	天虹股份	12
002435	长江健康	12
000612	焦作万方	11.91
000826	启迪环境	11.91
600433	冠豪高新	11.9
002122	*ST天马	11.88
601966	玲珑轮胎	11.87
600118	中国卫星	11.82
002089	*ST新海	11.82
000650	仁和药业	11.8
002273	水晶光电	11.8
603225	新凤鸣	11.8
300168	万达信息	11.79
300110	华仁药业	11.77
600537	亿晶光电	11.76
002434	万里扬	11.74
000902	新洋丰	11.74
002467	二六三	11.72
002491	通鼎互联	11.69
600308	华泰股份	11.68
600012	皖通高速	11.66
002228	合兴包装	11.65
002625	光启技术	11.65
600682	南京新百	11.65
601066	中信建投	11.64
002233	塔牌集团	11.62
300038	数知科技	11.61
600293	三峡新材	11.6
600122	*ST宏图	11.58
002617	露笑科技	11.57
600928	西安银行	11.56
601226	华电重工	11.55
601886	江河集团	11.54
002156	通富微电	11.54
600736	苏州高新	11.51
000735	罗 牛 山	11.51
600110	诺德股份	11.5
600280	*ST中商	11.48
000739	普洛药业	11.47
600780	通宝能源	11.47
000738	航发控制	11.46
300303	聚飞光电	11.43
600123	兰花科创	11.42
000623	吉林敖东	11.42
002594	比亚迪	11.42
603858	步长制药	11.42
002589	瑞康医药	11.4
002314	南山控股	11.37
000688	国城矿业	11.37
002501	*ST利源	11.35
002181	粤 传 媒	11.34
601700	风范股份	11.33
600439	瑞贝卡	11.32
300287	飞利信	11.32
002212	南洋股份	11.31
000795	英洛华	11.31
600201	生物股份	11.26
600368	五洲交通	11.26
600545	卓郎智能	11.24
600084	ST中葡	11.24
600093	易见股份	11.22
600468	百利电气	11.22
601311	骆驼股份	11.22
000498	山东路桥	11.2
600658	电子城	11.19
300111	向日葵	11.16
002267	陕天然气	11.12
002051	中工国际	11.12
002299	圣农发展	11.11
000965	天保基建	11.1
000966	长源电力	11.08
002481	双塔食品	11.07
600498	烽火通信	11.07
600322	天房发展	11.06
603000	人民网	11.06
002154	报 喜 鸟	11.05
002271	东方雨虹	11.01
000958	东方能源	10.99
600410	华胜天成	10.99
300352	北信源	10.97
002074	国轩高科	10.96
600009	上海机场	10.93
600291	西水股份	10.93
600880	博瑞传播	10.93
000662	*ST天夏	10.93
600609	金杯汽车	10.93
600531	豫光金铅	10.9
000600	建投能源	10.9
600874	创业环保	10.87
002681	*ST奋达	10.86
300048	合康新能	10.85
300274	阳光电源	10.84
601996	丰林集团	10.8
000601	韶能股份	10.8
603799	华友钴业	10.79
002573	清新环境	10.79
002422	科伦药业	10.78
002697	红旗连锁	10.78
000639	西王食品	10.76
000848	承德露露	10.76
002100	天康生物	10.74
000541	佛山照明	10.73
300128	锦富技术	10.72
600058	五矿发展	10.72
600388	龙净环保	10.69
600056	中国医药	10.68
002387	维信诺	10.68
002717	岭南股份	10.66
000970	中科三环	10.65
002179	中航光电	10.65
002121	*ST科陆	10.63
600621	华鑫股份	10.61
000040	东旭蓝天	10.6
000005	世纪星源	10.58
000680	山推股份	10.57
600086	*ST金钰	10.57
002565	顺灏股份	10.56
601689	拓普集团	10.55
002583	海能达	10.54
600824	益民集团	10.54
600662	强生控股	10.53
002109	兴化股份	10.53
600996	贵广网络	10.52
002711	*ST欧浦	10.52
603169	兰石重装	10.52
600533	栖霞建设	10.5
600510	黑牡丹	10.47
600848	上海临港	10.47
002294	信立泰	10.46
002528	英飞拓	10.46
002373	千方科技	10.45
600117	西宁特钢	10.45
600825	新华传媒	10.45
000062	深圳华强	10.45
600570	恒生电子	10.44
600062	华润双鹤	10.43
002689	远大智能	10.41
688981	中芯国际	10.4
000828	东莞控股	10.4
002648	卫星石化	10.38
002413	雷科防务	10.37
600076	康欣新材	10.34
002276	万马股份	10.34
600602	云赛智联	10.33
002545	东方铁塔	10.32
600798	宁波海运	10.31
600335	国机汽车	10.3
300292	吴通控股	10.3
000518	四环生物	10.3
600676	交运股份	10.28
600420	现代制药	10.27
600797	浙大网新	10.24
000801	四川九洲	10.23
002570	贝因美	10.22
600313	农发种业	10.19
000428	华天酒店	10.19
600180	瑞茂通	10.16
000997	新 大 陆	10.16
002596	海南瑞泽	10.16
600195	中牧股份	10.16
601008	连云港	10.15
002063	远光软件	10.14
000780	*ST平能	10.14
000520	长航凤凰	10.12
603128	华贸物流	10.12
002444	巨星科技	10.12
000810	创维数字	10.12
300158	振东制药	10.12
002519	银河电子	10.11
000676	智度股份	10.09
000400	许继电气	10.08
600007	中国国贸	10.07
002180	纳思达	10.07
600408	ST安泰	10.07
000068	华控赛格	10.07
000988	华工科技	10.05
600305	恒顺醋业	10.03
002093	国脉科技	10.03
600223	鲁商发展	10.01
000969	安泰科技	10.01
600163	中闽能源	9.99
603328	依顿电子	9.98
300184	力源信息	9.98
300297	蓝盾股份	9.97
600330	天通股份	9.97
300325	德威新材	9.96
300066	三川智慧	9.96
601577	长沙银行	9.95
002008	大族激光	9.93
600116	三峡水利	9.93
000753	漳州发展	9.91
600397	安源煤业	9.9
600792	云煤能源	9.9
600366	宁波韵升	9.89
300091	金通灵	9.88
600393	粤泰股份	9.88
002603	以岭药业	9.87
600651	*ST飞乐	9.85
000665	湖北广电	9.82
000831	五矿稀土	9.81
002726	龙大肉食	9.8
002638	*ST勤上	9.79
600258	首旅酒店	9.79
000999	华润三九	9.78
000682	东方电子	9.78
601218	吉鑫科技	9.77
600488	天药股份	9.77
601789	宁波建工	9.76
000899	赣能股份	9.76
600617	国新能源	9.75
000544	中原环保	9.75
002067	景兴纸业	9.74
600555	*ST海创	9.74
600260	凯乐科技	9.73
600075	新疆天业	9.73
000886	海南高速	9.72
002630	华西能源	9.72
600284	浦东建设	9.7
000998	隆平高科	9.69
002496	*ST辉丰	9.69
000973	佛塑科技	9.67
000968	蓝焰控股	9.67
600267	海正药业	9.66
600216	浙江医药	9.65
601965	中国汽研	9.65
000930	中粮科技	9.64
000555	神州信息	9.63
300189	神农科技	9.63
002062	宏润建设	9.63
600740	山西焦化	9.63
002206	海 利 得	9.6
600360	华微电子	9.6
000545	金浦钛业	9.59
601890	亚星锚链	9.59
002418	*ST康盛	9.59
002135	东南网架	9.59
002226	江南化工	9.58
600641	万业企业	9.58
600776	东方通信	9.56
002283	天润工业	9.56
300009	安科生物	9.51
600960	渤海汽车	9.51
002430	杭氧股份	9.5
000926	福星股份	9.46
600416	*ST湘电	9.46
002261	拓维信息	9.44
002124	天邦股份	9.44
000850	华茂股份	9.43
002325	洪涛股份	9.43
002113	*ST天润	9.41
300001	特锐德	9.4
